# num_of_sequences	1952
# total_length	770425
# max_sequence_length	1102
# non_wildcard_ranges_number	17759
# non_wildcard_ranges_total_length	753749
# non_wildcard_ranges_max_length	1102
# num_of_sequences.bits	11
# max_sequence_length.bits	11
# non_wildcard_ranges_number.bits	15
# non_wildcard_ranges_max_length.bits	11
